,day_of_week,hour,source,destination,type,avg_distance,avg_lyft_price,avg_uber_price,preferred
91,6,9,Back Bay,Fenway,lux,1.3599999999999999,15.0,14.9,Uber
92,6,9,Back Bay,Fenway,black_xl,1.3499999999999999,26.0,24.2,Uber
93,6,9,Back Bay,Fenway,shared,1.3571428571428572,5.0,7.2,Lyft
94,6,9,Back Bay,Boston University,standard,1.4377777777777778,8.5,8.1,Uber
95,6,9,Back Bay,Boston University,black_xl,1.465,27.0,26.0,Uber
96,6,9,Back Bay,Boston University,lux,1.4677777777777776,17.285714285714285,16.5,Uber
97,6,9,Back Bay,Boston University,xl,1.43,13.5,12.25,Uber
98,6,9,Back Bay,Boston University,shared,1.456,4.5,8.75,Lyft
99,6,9,Back Bay,Northeastern University,lux,1.102857142857143,16.5,14.666666666666666,Uber
100,6,9,Back Bay,Northeastern University,shared,1.1242857142857143,6.333333333333333,7.875,Lyft
101,6,9,Back Bay,Northeastern University,xl,1.13625,14.666666666666666,12.3,Uber
102,6,9,Back Bay,Northeastern University,standard,1.1780000000000002,8.333333333333334,8.5,Lyft
103,6,9,Back Bay,Northeastern University,black_xl,1.1466666666666667,29.875,26.75,Uber
104,6,9,Back Bay,South Station,standard,2.3221428571428575,11.0,10.2,Uber
105,6,9,Back Bay,South Station,lux,2.0741176470588236,21.433333333333334,27.25,Lyft
106,6,9,Back Bay,South Station,shared,2.6063636363636364,6.625,9.571428571428571,Lyft
107,6,9,Back Bay,South Station,black_xl,3.3425000000000007,39.5,35.785714285714285,Uber
108,6,9,Back Bay,South Station,xl,2.5850000000000004,21.357142857142858,16.3,Uber
109,6,9,Back Bay,Haymarket Square,lux,2.3245454545454547,21.714285714285715,23.75,Lyft
110,6,9,Back Bay,Haymarket Square,black_xl,2.307142857142857,32.4,29.5,Uber
111,6,9,Back Bay,Haymarket Square,shared,2.31,7.0,9.666666666666666,Lyft
112,6,9,Back Bay,Haymarket Square,standard,2.2966666666666664,9.7,11.5,Lyft
113,6,9,Back Bay,Haymarket Square,xl,2.338,16.5,16.0,Uber
114,6,9,Back Bay,North End,shared,2.8254545454545457,6.642857142857143,10.0,Lyft
115,6,9,Back Bay,North End,lux,2.849,24.071428571428573,24.833333333333332,Lyft
116,6,9,Back Bay,North End,standard,2.7300000000000004,11.25,9.75,Uber
117,6,9,Back Bay,North End,black_xl,2.7883333333333327,35.5,33.5,Uber
118,6,9,Back Bay,North End,xl,2.7824999999999998,18.0,17.0,Uber
119,6,9,Boston University,West End,shared,3.0561538461538458,7.4,9.125,Lyft
120,6,9,Boston University,West End,standard,3.0546153846153845,10.6,9.5,Uber
121,6,9,Boston University,West End,lux,3.063571428571428,22.333333333333332,22.2,Uber
122,6,9,Boston University,West End,black_xl,3.0869999999999997,34.6,33.6,Uber
123,6,9,Boston University,West End,xl,3.068,18.0,17.0,Uber
124,6,9,Boston University,Back Bay,black_xl,1.605,26.0,26.333333333333332,Lyft
125,6,9,Boston University,Back Bay,lux,1.6620000000000001,16.5,17.0,Lyft
126,6,9,Boston University,Back Bay,xl,1.6014285714285716,11.833333333333334,14.125,Lyft
127,6,9,Boston University,Back Bay,standard,1.5385714285714287,9.0,8.3,Uber
128,6,9,Boston University,Back Bay,shared,1.5525000000000002,3.5,6.666666666666667,Lyft
129,6,9,Boston University,North Station,lux,3.4658333333333324,26.944444444444443,26.333333333333332,Uber
130,6,9,Boston University,North Station,xl,3.45,19.5,17.0,Uber
131,6,9,Boston University,North Station,black_xl,3.4528571428571433,37.4,35.75,Uber
132,6,9,Boston University,North Station,shared,3.4539999999999997,7.666666666666667,9.25,Lyft
133,6,9,Boston University,North Station,standard,3.4560000000000004,11.0,12.0,Lyft
134,6,9,Boston University,Beacon Hill,shared,2.706666666666666,7.0,7.5,Lyft
135,6,9,Boston University,Beacon Hill,standard,2.82,10.75,10.875,Lyft
136,6,9,Boston University,Beacon Hill,lux,2.7387499999999996,21.75,21.5,Uber
137,6,9,Boston University,Beacon Hill,black_xl,2.7074999999999996,35.0,31.5,Uber
138,6,9,Boston University,Beacon Hill,xl,2.7099999999999995,15.75,19.0,Lyft
139,6,9,Boston University,Theatre District,shared,2.8800000000000003,7.0,8.6,Lyft
140,6,9,Boston University,Theatre District,lux,2.921111111111111,23.3,22.125,Uber
141,6,9,Boston University,Theatre District,black_xl,2.8816666666666664,34.0,32.8,Uber
142,6,9,Boston University,Theatre District,standard,2.8720000000000003,10.5,11.375,Lyft
143,6,9,Boston University,Financial District,xl,4.668333333333333,22.5,22.25,Uber
144,6,9,Boston University,Financial District,lux,4.662727272727272,31.1,28.75,Uber
145,6,9,Boston University,Financial District,standard,4.576666666666666,13.5,13.5,Lyft
146,6,9,Boston University,Financial District,shared,4.712857142857142,10.5,10.0,Uber
147,6,9,Financial District,Boston University,xl,5.266666666666667,23.85,24.25,Lyft
148,6,9,Financial District,Boston University,shared,5.17375,10.4,12.666666666666666,Lyft
149,6,9,Financial District,Boston University,lux,5.246923076923076,32.18181818181818,35.25,Lyft
150,6,9,Financial District,Northeastern University,shared,4.0962499999999995,8.0,12.0,Lyft
151,6,9,Financial District,Northeastern University,xl,4.148750000000001,18.5,21.5,Lyft
152,6,9,Financial District,Northeastern University,lux,4.312222222222222,26.833333333333332,31.0,Lyft
153,6,9,Financial District,Northeastern University,standard,3.7662500000000003,12.875,12.625,Uber
154,6,9,Financial District,Northeastern University,black_xl,3.6427272727272726,37.416666666666664,37.4,Uber
155,6,9,Financial District,South Station,shared,0.4173333333333332,4.071428571428571,5.875,Lyft
156,6,9,Financial District,South Station,lux,0.4315789473684209,14.928571428571429,15.5,Lyft
157,6,9,Financial District,South Station,xl,0.42454545454545456,9.25,9.5,Lyft
158,6,9,Financial District,South Station,standard,0.42888888888888893,7.333333333333333,7.0,Uber
159,6,9,Financial District,South Station,black_xl,0.43500000000000005,26.3,26.0,Uber
160,6,9,Financial District,Fenway,lux,4.414000000000001,30.710526315789473,28.5,Uber
161,6,9,Financial District,Fenway,xl,4.3938461538461535,22.166666666666668,21.25,Uber
162,6,9,Financial District,Fenway,standard,4.443636363636363,13.125,15.5,Lyft
163,6,9,Financial District,Fenway,shared,4.449090909090908,7.444444444444445,10.0,Lyft
164,6,9,Financial District,Fenway,black_xl,4.4399999999999995,43.25,39.25,Uber
165,6,9,Financial District,Haymarket Square,shared,1.1828571428571428,4.2,7.277777777777778,Lyft
166,6,9,Financial District,Haymarket Square,xl,1.1763636363636363,10.666666666666666,11.75,Lyft
167,6,9,Financial District,Haymarket Square,lux,1.1627272727272728,16.125,15.5,Uber
168,6,9,Financial District,Haymarket Square,standard,1.1966666666666663,7.4,7.4,Lyft
169,6,9,Financial District,Haymarket Square,black_xl,1.2042857142857142,28.083333333333332,26.6875,Uber
170,6,9,Financial District,North End,lux,1.1725,14.7,16.0,Lyft
171,6,9,Financial District,North End,black_xl,1.0971428571428572,26.75,27.0,Lyft
172,6,9,Financial District,North End,xl,1.15,10.5,12.25,Lyft
173,6,9,Financial District,North End,standard,1.142,7.666666666666667,7.75,Lyft
174,6,9,Financial District,North End,shared,1.13,5.0,8.0,Lyft
175,6,9,North End,North Station,xl,1.0481818181818183,11.38888888888889,12.5,Lyft
176,6,9,North End,North Station,black_xl,1.057,26.1875,29.0,Lyft
177,6,9,North End,North Station,lux,1.0669999999999997,14.736842105263158,15.0,Lyft
178,6,9,North End,North Station,standard,1.0500000000000003,7.0,7.75,Lyft
179,6,9,North End,North Station,shared,1.0615384615384615,3.7083333333333335,7.5,Lyft
180,6,9,North End,Back Bay,black_xl,2.82,35.75,33.9,Uber
181,6,9,North End,Back Bay,standard,3.1566666666666663,10.5,11.7,Lyft
182,6,9,North End,Back Bay,shared,2.904,7.0,11.3,Lyft
183,6,9,North End,Back Bay,xl,2.945,18.0,19.25,Lyft
184,6,9,North End,Financial District,xl,1.091818181818182,11.5,12.0625,Lyft
185,6,9,North End,Financial District,black_xl,1.1155555555555554,27.2,26.625,Uber
186,6,9,North End,Financial District,shared,1.0657142857142858,5.0,7.4,Lyft
187,6,9,North End,Financial District,standard,1.088,8.166666666666666,7.75,Uber
188,6,9,North End,Financial District,lux,1.0975000000000001,15.9,15.333333333333334,Uber
189,6,9,North End,West End,lux,1.2116666666666667,18.0,16.5,Uber
190,6,9,North End,West End,standard,1.1749999999999998,7.0,7.5,Lyft
191,6,9,North End,West End,shared,1.1620000000000001,5.0,6.75,Lyft
192,6,9,North End,West End,xl,1.182,12.5,12.75,Lyft
193,6,9,North End,West End,black_xl,1.1849999999999998,26.5,26.666666666666668,Lyft
194,6,9,North End,Theatre District,xl,1.4733333333333334,14.5,14.25,Uber
195,6,9,North End,Theatre District,shared,1.5085714285714287,5.5,10.666666666666666,Lyft
196,6,9,North End,Theatre District,lux,1.54125,19.5,18.25,Uber
197,6,9,North End,Theatre District,standard,1.48,10.0,9.7,Uber
198,6,9,North End,Theatre District,black_xl,1.4799999999999998,30.0,26.5,Uber
199,6,9,North End,Beacon Hill,lux,1.9054545454545455,19.666666666666668,20.5,Lyft
200,6,9,North End,Beacon Hill,shared,1.9907692307692306,5.857142857142857,9.5,Lyft
201,6,9,North End,Beacon Hill,standard,1.9493750000000003,10.0,9.0,Uber
202,6,9,North End,Beacon Hill,xl,1.9727272727272727,13.875,15.333333333333334,Lyft
203,6,9,North End,Beacon Hill,black_xl,1.8750000000000004,30.8125,28.25,Uber
204,6,9,Beacon Hill,Northeastern University,xl,2.2600000000000002,14.7,13.0,Uber
205,6,9,Beacon Hill,Northeastern University,shared,2.29,7.0625,11.25,Lyft
206,6,9,Beacon Hill,Northeastern University,standard,2.289,11.0,10.875,Uber
207,6,9,Beacon Hill,Northeastern University,black_xl,2.2864285714285715,35.0,26.6,Uber
208,6,9,Beacon Hill,Northeastern University,lux,2.2649999999999997,21.863636363636363,18.8,Uber
209,6,9,Beacon Hill,Boston University,lux,2.2936363636363644,19.03846153846154,21.166666666666668,Lyft
210,6,9,Beacon Hill,Boston University,black_xl,2.2953846153846156,30.0,28.285714285714285,Uber
211,6,9,Beacon Hill,Boston University,shared,2.29625,6.0,9.625,Lyft
212,6,9,Beacon Hill,Boston University,xl,2.2876470588235294,14.625,15.944444444444445,Lyft
213,6,9,Beacon Hill,Boston University,standard,2.288888888888889,9.0,10.285714285714286,Lyft
214,6,9,Beacon Hill,South Station,lux,2.2842857142857147,20.25,20.833333333333332,Lyft
215,6,9,Beacon Hill,South Station,shared,2.408333333333333,6.333333333333333,8.166666666666666,Lyft
